; --------------------------------------------------------------
; Tabulated partition function U for H2 molecule.
; --------------------------------------------------------------

; --------------------------------------------------------------
; Data are obtained from Barklem and Collet, A&A 588, 2016
; https://www.aanda.org/articles/aa/pdf/2016/04/aa26961-15.pdf 
; --------------------------------------------------------------

; -----------    -----------
;    T (K)            U
; -----------    -----------

  1.00000e-05    2.50000e-01
  1.00000e-04    2.50000e-01
  1.00000e-03    2.50000e-01
  1.00000e-02    2.50000e-01
  1.00000e-01    2.50000e-01
  1.50000e-01    2.50000e-01
  2.00000e-01    2.50000e-01
  3.00000e-01    2.50000e-01
  5.00000e-01    2.50000e-01
  7.00000e-01    2.50000e-01
  1.00000e+00    2.50000e-01
  1.30000e+00    2.50000e-01
  1.70000e+00    2.50000e-01
  2.00000e+00    2.50000e-01
  3.00000e+00    2.50000e-01
  5.00000e+00    2.50000e-01
  7.00000e+00    2.50000e-01
  1.00000e+01    2.50000e-01
  1.50000e+01    2.50026e-01
  2.00000e+01    2.50448e-01
  3.00000e+01    2.57673e-01
  5.00000e+01    3.24494e-01
  7.00000e+01    4.48016e-01
  1.00000e+02    6.67129e-01
  1.30000e+02    8.83429e-01
  1.70000e+02    1.15156e+00
  2.00000e+02    1.34083e+00
  2.50000e+02    1.64454e+00
  3.00000e+02    1.94229e+00
  5.00000e+02    3.12970e+00
  7.00000e+02    4.32810e+00
  1.00000e+03    6.15984e+00
  1.50000e+03    9.41007e+00
  2.00000e+03    1.30843e+01
  3.00000e+03    2.22684e+01
  4.00000e+03    3.46011e+01
  5.00000e+03    5.07619e+01
  6.00000e+03    7.11512e+01
  7.00000e+03    9.58762e+01
  8.00000e+03    1.24852e+02
  9.00000e+03    1.57911e+02
  1.00000e+04    1.94871e+02
